Filename,Energy,Pitch Min,Pitch Max,Pitch Mean,Pitch Std Dev,Intensity Min,Intensity Max,Intensity Mean,Jitter,Shimmer,Speech Rate,Max Pause,Avg Pause,Result
../MIT_INTERVIEW_DATASET/Audio/P1.wav,0.013453422,152.37782,3995.055,1068.2526,886.8599,0.0011780317,0.08562931,0.013453422,886.8599,0.0110623995,5.2235623781676415,3.4240000000000066,0.19109727626459144,0.7471045089051429
../MIT_INTERVIEW_DATASET/Audio/PP1.wav,0.00828729,152.35033,3995.4722,877.5982,801.3841,0.0009772121,0.05670551,0.00828729,801.3841,0.007105092,4.9185963978351515,3.1359999999999957,0.20305191873589165,0.7471045089051429
../MIT_INTERVIEW_DATASET/Audio/P3.wav,0.013534176,152.34901,3995.9893,1031.3015,921.6656,0.0013378455,0.12311527,0.013534176,921.6656,0.012387658,4.810126582278481,6.495999999999981,0.2079368143922773,0.6059270310249999
../MIT_INTERVIEW_DATASET/Audio/PP3.wav,0.012316766,152.34517,3995.9597,1074.5879,1016.42395,0.0009954761,0.11840172,0.012316766,1016.42395,0.011357648,3.589615159863094,3.103999999999985,0.2784760058167717,0.6059270310249999
../MIT_INTERVIEW_DATASET/Audio/P4.wav,0.008803013,152.34793,3996.037,1040.6165,909.6504,0.0010242021,0.06355297,0.008803013,909.6504,0.006672987,5.5591044594512375,5.1200000000000045,0.17990965092402464,0.6356356350158572
../MIT_INTERVIEW_DATASET/Audio/PP4.wav,0.009675312,152.34775,3996.0403,979.4802,895.5711,0.0009754374,0.1276944,0.009675312,895.5711,0.008841251,5.24110344361004,2.5919999999999987,0.19076029055690072,0.6356356350158572
../MIT_INTERVIEW_DATASET/Audio/P5.wav,0.007060537,152.36038,3995.8296,969.5431,899.3544,0.0012008867,0.04046443,0.007060537,899.3544,0.0051535317,4.062146892655368,1.9840000000000089,0.24583844011142061,0.7636810021695714
../MIT_INTERVIEW_DATASET/Audio/PP5.wav,0.0046039484,152.346,3995.9219,891.52826,862.7051,0.0007663182,0.03327945,0.0046039484,862.7051,0.0038253274,3.351808535882572,5.407999999999987,0.2982886075949367,0.7636810021695714
../MIT_INTERVIEW_DATASET/Audio/P6.wav,0.0054390775,152.34572,3996.053,1051.5039,957.40857,0.0008094793,0.0594136,0.0054390775,957.40857,0.0036729865,5.375384446397188,2.5600000000000023,0.18607155025553665,0.7158073188164286
../MIT_INTERVIEW_DATASET/Audio/PP6.wav,0.0042477013,152.34654,3996.0767,880.13574,867.4872,0.0009348409,0.050767276,0.0042477013,867.4872,0.0029931625,3.5555555555555554,3.584000000000003,0.28122048517520215,0.7158073188164286
../MIT_INTERVIEW_DATASET/Audio/P7.wav,0.008787766,152.34491,3995.756,1090.3843,882.7979,0.0008490423,0.046988092,0.008787766,882.7979,0.0060226847,4.714814814814815,2.975999999999999,0.21215094339622642,0.8114186248972857
../MIT_INTERVIEW_DATASET/Audio/PP7.wav,0.0083229495,152.34474,3995.9778,1007.6757,871.86926,0.0013676846,0.046787877,0.0083229495,871.86926,0.0056761764,4.899793692897141,4.864000000000004,0.20411182795698926,0.8114186248972857
../MIT_INTERVIEW_DATASET/Audio/P8.wav,0.0126966145,152.35927,3995.9675,849.87695,773.0033,0.00086409436,0.078928605,0.0126966145,773.0033,0.010906941,5.13577629719362,2.3999999999999986,0.1944585125998771,0.6689154623295713
../MIT_INTERVIEW_DATASET/Audio/PP8.wav,0.0127464365,152.34665,3995.7925,733.3704,700.2708,0.0010035597,0.08796487,0.0127464365,700.2708,0.011220924,4.875,4.352000000000004,0.20501052631578948,0.6689154623295713
../MIT_INTERVIEW_DATASET/Audio/P10.wav,0.0153009035,152.34958,3995.9272,848.21783,749.1059,0.001441642,0.09778622,0.0153009035,749.1059,0.01310163,5.246478873239437,3.2319999999999993,0.19063921217547,0.6675016464971428
../MIT_INTERVIEW_DATASET/Audio/PP10.wav,0.010896323,152.34656,3994.2263,772.719,717.0478,0.0008312602,0.070304476,0.010896323,717.0478,0.01019567,4.44192301227097,5.695999999999998,0.2252121212121212,0.6675016464971428
../MIT_INTERVIEW_DATASET/Audio/P11.wav,0.009202243,152.34618,3995.923,1005.5577,834.07806,0.00085472944,0.05175928,0.009202243,834.07806,0.006493392,4.7905820759434095,3.231999999999971,0.2084669738863287,0.7001490000452858
../MIT_INTERVIEW_DATASET/Audio/PP11.wav,0.00794318,152.35461,3995.1992,994.4986,831.9391,0.0012930246,0.052995063,0.00794318,831.9391,0.0057283277,4.927777777777778,1.8240000000000123,0.20254627539503384,0.7001490000452858
../MIT_INTERVIEW_DATASET/Audio/P12.wav,0.0095836725,152.46465,3996.0835,897.2452,786.8307,0.0011135559,0.110504426,0.0095836725,786.8307,0.010072434,3.658822151972837,2.8160000000000025,0.26962883845126834,0.7434075128185713
../MIT_INTERVIEW_DATASET/Audio/PP12.wav,0.012020658,152.34503,3996.0876,931.0472,790.58295,0.0012630639,0.09259757,0.012020658,790.58295,0.011000596,4.245807665982204,4.99199999999999,0.23457250945775535,0.7434075128185713
../MIT_INTERVIEW_DATASET/Audio/P13.wav,0.0042525306,152.34703,3995.9739,666.6416,660.2755,0.00071846746,0.024542188,0.0042525306,660.2755,0.003158552,4.438775510204081,3.0720000000000027,0.22485889570552148,0.6178750192828572
../MIT_INTERVIEW_DATASET/Audio/PP13.wav,0.004374375,152.3463,3995.858,625.05786,539.3939,0.0012085221,0.023006098,0.004374375,539.3939,0.002261413,3.3212292976707114,6.719999999999999,0.30109899888765296,0.6178750192828572
../MIT_INTERVIEW_DATASET/Audio/P14.wav,0.010476761,152.34752,3996.081,1046.9438,923.6831,0.0008456135,0.08674669,0.010476761,923.6831,0.009505823,4.284552845528455,3.711999999999989,0.23302564102564102,0.7971621951478571
../MIT_INTERVIEW_DATASET/Audio/PP14.wav,0.01444715,152.34995,3995.9653,1025.4639,933.37573,0.001504299,0.09799697,0.01444715,933.37573,0.012575834,5.151188610240334,6.592000000000013,0.19395400475812846,0.7971621951478571
../MIT_INTERVIEW_DATASET/Audio/P15.wav,0.008584876,152.34654,3996.0593,958.1436,828.1081,0.00092717406,0.05391048,0.008584876,828.1081,0.00643112,4.496904810229348,3.8080000000000496,0.22202822201317027,0.651790269187
