Filename,Energy,Pitch Min,Pitch Max,Pitch Mean,Pitch Std Dev,Intensity Min,Intensity Max,Intensity Mean,Jitter,Shimmer,Speech Rate,Max Pause,Avg Pause,Total Pause Duration,Result
../MIT_INTERVIEW_DATASET/Audio/P1.wav,0.013453422,152.37782,3995.055,1068.2526,886.8599,0.0011780317,0.08562931,0.013453422,886.8599,0.0110623995,5.2235623781676415,3.4240000000000066,0.19109727626459144,196.448,1
../MIT_INTERVIEW_DATASET/Audio/PP1.wav,0.00828729,152.35033,3995.4722,877.5982,801.3841,0.0009772121,0.05670551,0.00828729,801.3841,0.007105092,4.9185963978351515,3.1359999999999957,0.20305191873589165,179.904,1
../MIT_INTERVIEW_DATASET/Audio/P3.wav,0.013534176,152.34901,3995.9893,1031.3015,921.6656,0.0013378455,0.12311527,0.013534176,921.6656,0.012387658,4.810126582278481,6.495999999999981,0.2079368143922773,473.888,0
../MIT_INTERVIEW_DATASET/Audio/PP3.wav,0.012316766,152.34517,3995.9597,1074.5879,1016.42395,0.0009954761,0.11840172,0.012316766,1016.42395,0.011357648,3.589615159863094,3.103999999999985,0.2784760058167717,574.496,0
../MIT_INTERVIEW_DATASET/Audio/P4.wav,0.008803013,152.34793,3996.037,1040.6165,909.6504,0.0010242021,0.06355297,0.008803013,909.6504,0.006672987,5.5591044594512375,5.1200000000000045,0.17990965092402464,262.848,0
../MIT_INTERVIEW_DATASET/Audio/PP4.wav,0.009675312,152.34775,3996.0403,979.4802,895.5711,0.0009754374,0.1276944,0.009675312,895.5711,0.008841251,5.24110344361004,2.5919999999999987,0.19076029055690072,472.704,0
../MIT_INTERVIEW_DATASET/Audio/P5.wav,0.007060537,152.36038,3995.8296,969.5431,899.3544,0.0012008867,0.04046443,0.007060537,899.3544,0.0051535317,4.062146892655368,1.9840000000000089,0.24583844011142061,176.512,1
../MIT_INTERVIEW_DATASET/Audio/PP5.wav,0.0046039484,152.346,3995.9219,891.52826,862.7051,0.0007663182,0.03327945,0.0046039484,862.7051,0.0038253274,3.351808535882572,5.407999999999987,0.2982886075949367,235.64799999999997,1
../MIT_INTERVIEW_DATASET/Audio/P6.wav,0.0054390775,152.34572,3996.053,1051.5039,957.40857,0.0008094793,0.0594136,0.0054390775,957.40857,0.0036729865,5.375384446397188,2.5600000000000023,0.18607155025553665,436.8960000000001,1
../MIT_INTERVIEW_DATASET/Audio/PP6.wav,0.0042477013,152.34654,3996.0767,880.13574,867.4872,0.0009348409,0.050767276,0.0042477013,867.4872,0.0029931625,3.5555555555555554,3.584000000000003,0.28122048517520215,521.664,1
